selection_ordinal	filename	url	x_offset	y_offset	source_x_size	source_y_size	source_data_type	decoded_bytes	source_bytes	sha256
21	tileSG-003-021_3-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-003-021/tileSG-003-021_3-1.tif	37449	5341	450	450	Int16	405000	406513	dbc823c918dc591b3d21a98cf591fc423a4fd8f3ff63b3f71ce39ff2d65ce73f
22	tileSG-003-026_3-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-003-026/tileSG-003-026_3-1.tif	46449	5341	450	450	Int16	405000	406513	f25695a5415b553f34e899a6e493226fd6f7f407a1037ff0ee36eac69b01a206
23	tileSG-003-045_3-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-003-045/tileSG-003-045_3-4.tif	81999	5341	450	450	Int16	405000	406513	c27405f8ae543c6a39324b44b29bd7c3313ddb22b2967db223286994a87d9466
24	tileSG-003-054_3-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-003-054/tileSG-003-054_3-1.tif	96849	5341	450	450	Int16	405000	406513	d2af968e45bff7ee3175c2599d93eb9da10679958126c9aa5910342156136289
25	tileSG-003-018_4-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-003-018/tileSG-003-018_4-1.tif	32049	5791	450	450	Int16	405000	406513	fca4e10ac0546f40fdb0459af1ef06b66468d912dc4f59d15462a229909a9632
26	tileSG-004-010_1-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-004-010/tileSG-004-010_1-4.tif	18999	6241	450	450	Int16	405000	406513	54ea9e6d827c53700af336d4ad8655e4e065d3fdb0e365e45b6dc9df6b5b3e43
27	tileSG-004-014_1-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-004-014/tileSG-004-014_1-4.tif	26199	6241	450	450	Int16	405000	406513	e14776575d0283501c6cc9a3d1fdc380b3bdd6426899c330d7b53687a6e102e4
28	tileSG-004-023_1-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-004-023/tileSG-004-023_1-3.tif	41949	6241	450	450	Int16	405000	406513	6ac9e061bdd5924ff0e906bae6e97dc59a1454a96ed7b4666e7a66f2130ebada
29	tileSG-004-049_1-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-004-049/tileSG-004-049_1-4.tif	89199	6241	450	450	Int16	405000	406513	5bdfe5e4bb7817c52478d0e73b5845a4a66b7aedd1a50c3ec3f0e292848df184
30	tileSG-004-056_1-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-004-056/tileSG-004-056_1-2.tif	100899	6241	450	450	Int16	405000	406513	30b546760ce4350213a0b1c3c94a18dcde28265be18d9757e4945ed2860d7c2a
31	tileSG-004-059_1-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-004-059/tileSG-004-059_1-1.tif	105849	6241	450	450	Int16	405000	406513	5f78ca72d2d65c8a17d888e88876779591118350cb42b2ae26d2766651fcf7ed
32	tileSG-004-061_1-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-004-061/tileSG-004-061_1-4.tif	110799	6241	450	450	Int16	405000	406513	45041f984e414d0a4ec10c2eac8c3fc622f75cdb07ae5b13a300dea75cc10feb
33	tileSG-004-067_1-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-004-067/tileSG-004-067_1-4.tif	121599	6241	450	450	Int16	405000	406511	dbcb5e496367d43d2caa0a078f9c497f3bc594f7db95425c7e8da53faca4a0c0
34	tileSG-004-071_1-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-004-071/tileSG-004-071_1-4.tif	128799	6241	450	450	Int16	405000	406513	4f5f4773132bb00054e18e9ebe0a3cd8c730868eae6a4c1775e9ebd3770c55ef
35	tileSG-004-027_2-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-004-027/tileSG-004-027_2-3.tif	49149	6691	450	450	Int16	405000	406513	90d466831fc105678e2ee6621b6b710a2337bf379326b39d197202ab76bf706e
36	tileSG-004-020_3-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-004-020/tileSG-004-020_3-2.tif	36099	7141	450	450	Int16	405000	406513	ef711c1b017ef6760a1756f0fd1bd3b6f73a5c5b8bd4049569778dea2e6f123a
